Producto,precio,PrincipioActivo,farmacia
Reumafrost NF Ungüento – Pote 100 G,19.9,"Salicilato de metilo 20.0g, Alcanfor 5.0 g, Mentol 1.0g, Aceite esencial de trementina 0.8g",Hogar y Salud
Rigaminol 160mg/2ml Solucion Inyectable – Caja 1 Un,20.0,Gentamicina 160 Mg,Hogar y Salud
Roxtrim Forte 400/80mg/5ml Suspensión Oral – Frasco 60 Ml,16.0,,Hogar y Salud
Rynat D Gotas Nasales – Frasco 15 Ml,30.1,,Hogar y Salud
Sal De Andrews Efervecente,0.9,Sodio Bicarbonato | Magnesio Sulfato,Hogar y Salud
Sal De Andrews Triple Accion,1.2,Sodio Bicarbonato | Paracetamol | Cafeína,Hogar y Salud
Salbutamol Phg 100Mcg Inhalador – Aerosol 200 Dosis,7.5,No encontrado,Hogar y Salud
Salbutamol 2 Mg/5 Ml Jarabe – Frasco 120 ML,2.7,Salbutamol 2 Mg,Hogar y Salud
Secnidazol Gnf 500 Mg – Caja 4 Un,5.9,No encontrado,Hogar y Salud
Selene 0.035mg-2.0mg Comprimido Recubierto – Caja 21 Un,32.0,Etinilestradiol 0.035mg|Acetato de Ciproterona 2.0mg,Hogar y Salud
Seretide 25 Mcg-125 Mcg/ Dosis – Frasco 120 Dosis,172.8,Fluticasona 125 Mcg + Salmeterol 35.7 Mcg,Hogar y Salud
Serotocaf 250mg/5ml Suspensión Oral – Frasco 60 Ml,23.2,No encontrado,Hogar y Salud
Shampoo Nopucid 10 2en1 – Frasco 60 Ml,19.9,Permetrina 1%,Hogar y Salud
Shampoo Quitoso Plus 1% – Frasco 60 Ml,16.6,Permetrina 1%,Hogar y Salud
Sildenafilo Mfn 100Mg – Caja 1 Un,2.8,Sildenafilo 100mg,Hogar y Salud
Silka Medic Gel 1% – Tubo 15 Gr,22.5,No encontrado,Hogar y Salud
Sitiderm NF Crema – Tubo 10 G,9.1,Betametasona 0.050g| Gentamicina 0.100g|Clotrimazol 1.000g,Hogar y Salud
Solouna 5 Solucion Inyectable – Caja 1 Un,17.7,Noretisterona 50mg | Valerato de Estradiol 5mg,Hogar y Salud
Soluna NF Solución Inyectable – Caja 1 Un,24.3,,Hogar y Salud
Solutres 150 mg/ml Solución Inyectable – Caja 1 Un,25.7,Acetato de medroxiprogesterona 150mg,Hogar y Salud
Sucralflam 1G/5ml Suspension Oral – Frasco 200 Ml,29.9,Sucralfato 1g/5mL,Hogar y Salud
Supositorio De Glicerina Para Niños Uso Rectal – Caja 100 Un,35.9,No encontrado,Hogar y Salud
Supositorio Glicerina Adulto,3.9,Glicerina,Hogar y Salud
Systalan Ultra Solución Oftálmica – Frasco 10 Ml,57.0,"polietilenglicol 0.4%
propilenglico 0.3%",Hogar y Salud
Tamisa 20 – Caja 21 Un,27.2,No encontrado,Hogar y Salud
Tamsulon Duo 0.5 – 0.4 Mg Cápsula – Caja 30 UN,163.3,,Hogar y Salud
Tensodox 5Mg,39.5,,Hogar y Salud
Terbifun 1% Solucion Tópica Spray – Frasco 30 Ml,27.5,No encontrado,Hogar y Salud
Terbinafina 1% Crema – Tubo 20 G,5.0,Clorhidrato de terbinafina 1g,Hogar y Salud
Alcohol Medicinal 70° – Frasco 120 Ml,2.5,No encontrado,Hogar y Salud
Terramisol- A Ungüento Oftálmico – Tubo 6 G,11.6,Oxitetraciclina 0.5g | Polimixina B 1000.000 UI,Hogar y Salud
Tiazid 12.5 Mg Tableta,10.4,Hidroclorotiazida 125 MG,Hogar y Salud
Tiazid 25 Mg Tableta,12.0,Hidroclorotiazida 25 MG,Hogar y Salud
Tilo Infusión En Hojas Sobre – Caja 50 Un,30.0,No encontrado,Hogar y Salud
Tinidazol 500 mg Tableta Recubierta Genfar – Caja 8 Un,6.8,TINIDAZOL 500mg,Hogar y Salud
Tintura de Árnica Solución – Frasco 30 ML,1.7,No encontrado,Hogar y Salud
Topicrem Crema – Tubo 10 G,11.9,"CLOTRIMAZOL 1.00g, GENTAMICINA 0.10g, BETAMETASONA 0.05g",Hogar y Salud
Topimicyn NF Ungüento Antibacteriano – Tubo 14 G,23.8,Hidrocortisona 1g + Neomicina 350 mg + Polimixina B 500 000 Ui + Bacitracina 40 000 Ui,Hogar y Salud
Tosalbron Infantil 28mg/5ml Jarabe – Frasco 100 Ml,14.4,Oxolamina 28mg,Hogar y Salud
Tosalbron NF Adulto 50mg/5ml Jarabe – Frasco 100 Ml,15.3,Oxolamina Citrato 50mg,Hogar y Salud
Transamin 250Mg – Caja 12 Un,58.2,No encontrado,Hogar y Salud
Trinaler 5% Crema Topica – Tubo 10 G,30.0,No encontrado,Hogar y Salud
Tropivag Cápsula Vaginal – Frasco 14 Un,47.8,,Hogar y Salud
Tructum 0.3% Solución Ótica – Frasco 10 Ml,73.4,Ofloxacino 0.30%,Hogar y Salud
Ulcestop 20Mg,10.0,,Hogar y Salud
Urocit K 1080Mg – Frasco 14 UN,33.6,No encontrado,Hogar y Salud
Urofurin 25mg/5ml Suspension Oral – Frasco 120 Ml,31.4,,Hogar y Salud
Vagisten 0.5 Mg Óvulo – Caja 10 Un,51.0,Estriol 0.5mg,Hogar y Salud
Vagisten Crema Vaginal – Tubo 15 Gr,36.9,"Estriol 0,1%",Hogar y Salud
Varidem Gel Antivaricoso – Tubo 40 G,33.9,No encontrado,Hogar y Salud
Varixina 50 Mg Cápsula Blandas,30.0,ESCINA 50 mg,Hogar y Salud
Varixina gel – Tubo 40 G,45.0,Extracto de Aesculus Hippocast 1 G,Hogar y Salud
Vaselina Reuter Grande Con Perfume – Lata 1 Un,2.0,No encontrado,Hogar y Salud
Vaselina Reuter Grande Sin Perfume – Lata 1 Un,2.0,No encontrado,Hogar y Salud
Vaselina Solida – Pote 50 G,4.5,No encontrado,Hogar y Salud
Vasotenal EZ 20/10 Comprimido Recubierto,109.5,"EZETIMIBA 10 mg, SIMVASTATINA 10 mg",Hogar y Salud
Ventimax 100Mcg Inhalador – Aerosol 250 Dosis,27.0,,Hogar y Salud
Ventolin 100mcg Suspension para Inhalacion – Frasco 200 Dosis,22.0,No encontrado,Hogar y Salud
Vinagre Bully – Frasco 120 Ml,1.6,Ácido acético | Esencia de limón | Esencia de canela | Esencia de lavanda| Esencia de bergamota | Colorante amarillo | Colorante rojo | Alcohol etílico 96°,Hogar y Salud
Vinagre Bully – Frasco 240 Ml,5.3,No encontrado,Hogar y Salud
Vinagre Tipo Bully – Frasco 500 Ml,7.3,"Ácido acético 3,0ml | Esencia de limón 0.1ml | Esencia de canela 0.1ml | Esencia de lavanda 0.1ml| Esencia de bergamota 0.1ml | Colorante amarillo 0.14mg | Colorante rojo 0.07mg | Alcohol etílico 96° 51.0ml",Hogar y Salud
Violeta Genciana – Frasco 30 Ml,1.6,Violeta de Genciana,Hogar y Salud
Violeta Genciana – Frasco 60 Ml,2.7,No encontrado,Hogar y Salud
Xeniler 10mg/ml Solucion Oral Gotas – Frasco 15 Ml,25.5,No encontrado,Hogar y Salud
Xilocaina 2% Jalea Tópica – Tubo 30 G,24.5,Lidocaína Clorhidrato 2%,Hogar y Salud
Xilonest 5% Pomada – Tubo 10 Gr,29.5,No encontrado,Hogar y Salud
Yasmin – Caja 21 Un,35.5,No encontrado,Hogar y Salud
Yasminiq – Caja 28 Un,46.3,No encontrado,Hogar y Salud
Zetaler 10Mg/Ml Gotas – Frasco 15 Ml,34.8,No encontrado,Hogar y Salud
Zinasen 10Mg,54.6,,Hogar y Salud
Zmol 100Mg/Ml Solucion Oral Gotas – Frasco 15 Ml,9.5,No encontrado,Hogar y Salud
Zoltum 40Mg – Caja 14 Un,95.8,No encontrado,Hogar y Salud
